collection	filename	language	temp
british library	Or_7976.xml	fa	TRUE
british library	Or_9444.xml	fa	TRUE
british library	Or_8659.xml	jpr	TRUE
british library	Or_13449.xml	ar	TRUE
british library	Or_6573.xml	ar	TRUE
british library	Or_9590.xml	ar	TRUE
british library	Or_9590.xml	fa	TRUE
british library	IO_Islamic_1026.xml	fa	TRUE
british library	IO_Islamic_132.xml	fa	TRUE
british library	IO_Islamic_3838.xml	fa	TRUE
british library	Or_10879.xml	fa	TRUE
british library	Or_11018.xml	fa	TRUE
british library	Or_11040.xml	fa	TRUE
british library	Or_11189.xml	fa	TRUE
british library	Or_11215.xml	fa	TRUE
british library	Or_11313.xml	fa	TRUE
british library	Or_11398.xml	fa	TRUE
british library	Or_11409.xml	fa	TRUE
british library	Or_11410.xml	fa	TRUE
british library	Or_11411.xml	fa	TRUE
british library	Or_11586.xml	fa	TRUE
british library	Or_13506.xml	fa	TRUE
british library	Or_14090.xml	fa	TRUE
british library	Or_14158.xml	fa	TRUE
british library	Or_14267.xml	fa	TRUE
british library	Or_14548.xml	fa	TRUE
british library	Or_14893.xml	fa	TRUE
british library	Or_2780.xml	fa	TRUE
british library	Or_5602.xml	fa	TRUE
british library	Or_6438.xml	fa	TRUE
british library	Or_6464.xml	fa	TRUE
british library	Or_6476.xml	fa	TRUE
british library	Or_6490.xml	fa	TRUE
british library	Or_6855.xml	fa	TRUE
british library	Or_7324.xml	fa	TRUE
british library	Or_7858.xml	fa	TRUE
british library	Or_7963.xml	fa	TRUE
british library	Or_8194.xml	fa	TRUE
british library	Or_8307.xml	fa	TRUE
british library	Or_8376.xml	fa	TRUE
british library	Or_9512.xml	fa	TRUE
british library	Or_9580.xml	fa	TRUE
british library	Or_9602.xml	fa	TRUE
british library	Or_9604.xml	fa	TRUE
british library	Or_9777.xml	fa	TRUE
british library	Or_7863.xml	fa	TRUE
british library	Or_7863.xml	ar	TRUE
british library	Or_5446.xml	jpr	TRUE
british library	ADD_7316.xml	ar	TRUE
british library	Or_12074.xml	ar	TRUE
british library	Or_13046.xml	ar	TRUE
british library	Or_9515.xml	ar	TRUE
british library	Or_9730.xml	ar	TRUE
british library	Add_18188.xml	fa	TRUE
british library	Add_25900.xml	fa	TRUE
british library	Add_27261.xml	fa	TRUE
british library	Delhi_Persian_50.xml	fa	TRUE
british library	Delhi_Persian_56.xml	fa	TRUE
british library	IO_Islamic_4561.xml	fa	TRUE
british library	IO_Islamic_4578.xml	fa	TRUE
british library	IO_Islamic_4587.xml	fa	TRUE
british library	IO_Islamic_4664.xml	fa	TRUE
british library	IO_Islamic_4665.xml	fa	TRUE
british library	Or_10894.xml	fa	TRUE
british library	Or_10902.xml	fa	TRUE
british library	Or_10903.xml	fa	TRUE
british library	Or_10906.xml	fa	TRUE
british library	Or_10911.xml	fa	TRUE
british library	Or_10921.xml	fa	TRUE
british library	Or_10959.xml	fa	TRUE
british library	Or_10983.xml	fa	TRUE
british library	Or_10984.xml	fa	TRUE
british library	Or_10996.xml	fa	TRUE
british library	Or_11137.xml	fa	TRUE
british library	Or_11153.xml	fa	TRUE
british library	Or_11230.xml	fa	TRUE
british library	Or_11325.xml	fa	TRUE
british library	Or_11328.xml	fa	TRUE
british library	Or_11349.xml	fa	TRUE
british library	Or_11363.xml	fa	TRUE
british library	Or_11519.xml	fa	TRUE
british library	Or_11522.xml	fa	TRUE
british library	Or_11563.xml	fa	TRUE
british library	Or_11599.xml	fa	TRUE
